বালাসরস্বতী	Balasaraswati
মার্গি সাথী	Margi Sathi
টম মুডি	Tom Moody
মুহাম্মাদ বাখতিয়ার ওয়ান চিক	Muhammad Bakhtiar Wan Chik
স্যাম মেন্ডেজ	Sam Mendes
ফরিদা মোমান্দ	Farida Momand
মোসাদ্দেক হোসেন বুলবুল	Mosaddek Hossain Bulbul
মোহাম্মদ আকবর হোসেন	Mohammad Akbar Hossain
মোহাম্মদ হুমায়ুন কবির	Mohammad Humayun Kabir
ক্রেগ ম্যাকডারমট	Craig McDermott
মার্লি ম্যাটলিন	Marlee Matlin
ক্রেগ ম্যাথুজ	Craig Matthews
রনিত রায়	Ronit Roy
বুরকেরি রমন	Woorkeri Raman
রাই	Raí
ফ্রেদ্রিক রাইনফেল্‌ৎ	Fredrik Reinfeldt
জে কে রাউলিং	J. K. Rowling
রাধা	Radha
ডেভ রান্ডল	Dave Rundle
চম্পকা রামানায়েকে	Champaka Ramanayake
মার্ক রাশমেয়ার	Mark Rushmere
রাশিদ আসকারী	Rashid Askari
রুই বারোস	Rui Barros
ডায়ান লেন	Diane Lane
শর্মিষ্ঠা মুখার্জি	Sharmistha Mukherjee
শানাইয়া টোয়েইন	Shania Twain
শাহরুখ খান	Shah Rukh Khan
লক্ষ্মণ শিবরামকৃষ্ণান	Laxman Sivaramakrishnan
শিলাজিৎ মজুমদার	Silajit Majumder
শেরিং তোবগে	Tshering Tobgay
শোয়েব চৌধুরী	Salah Choudhury
শহীদুল আলম সাচ্চু	Shahidul Alam Sachchu
সালমান আল-খলিফা	Salman bin Ibrahim Al Khalifa
সালমান খান	Salman Khan
মনিন্দর সিং	Maninder Singh
সীমা বিশ্বাস	Seema Biswas
সুধা চন্দ্রন	Sudha Chandran
সুনেত্রা গুপ্ত	Sunetra Gupta
সুভাষিণী গিরিধর	Subhashni Giridhar
সুরেখা যাদব	Surekha Yadav
সুলতান বিন খলিফা আল নাহিয়ান	Sultan bin Khalifa Al Nahyan
সৈয়দ জাফর নাদেরি	Sayed Jafar Naderi
বেন স্টিলার	Ben Stiller
আনিসুল হক	Anisul Hoque
অ্যান্ড্রু হাডসন	Andrew Hudson
হিরোনোবু নোমুরা	Hironobu Nomura
গিডিওন হেই	Gideon Haigh
হীরা দেবী বাইবা	Hira Devi Waiba
অঞ্জলি ইলা মেনন	Anjolie Ela Menon
অনুপম সেন	Anupam Sen
অ্যান্টনি ফৌসি	Anthony Fauci
অ্যালেক্স কারগিল	Alex Caygill
আজহারুল হক	Azharul Haque
আতাউর রহমান খান কায়সার	Ataur Rahman Khan Kaiser
আনিসুর রহমান আনিস	Anisur Rahman Anis
আবদুর রহমান ওয়াহিদ	Abdurrahman Wahid
আব্বাস কিয়রোস্তামি	Abbas Kiarostami
আব্বাস কিয়রোস্তামির চলচ্চিত্র	Abbas Kiarostami filmography
আমজাদ খান	Amjad Khan
আমির হোসেন আমু	Amir Hossain Amu
আরতি সাহা	Arati Saha
রওশন আরা	Rawshan Ara
আরিয়ে ওয়ারশেল	Arieh Warshel
আলি বাবা	Ali Baba
আসকারি মিয়া ইরানী	Askari Mian Irani
আহমদ বিন হামাদ আল-খালিলি	Ahmed bin Hamad al-Khalili
মওদুদ আহমেদ	Moudud Ahmed
ইউনিস ডিসুজা	Eunice de Souza
ইকবাল বাহার চৌধুরী	Iqbal Bahar Chowdhury
ইনামুল হ	Inamul Haque
একেএম মাইদুল ইসলাম	AKM Maidul Islam
এখলাসউদ্দিন আহমদ	Ekhlasuddin Ahmed
এড ভেন দেন হেউভেল	Ed van den Heuvel
এম এম রহমত উল্লাহ	M. M. Rahmatullah
এম. আজিজুল হক	M. Azizul Haq
এলান কে	Alan Kay
ওয়াঙ্গেরী মাথেই	Wangari Maathai
স্যাম ওয়াটারস্টন	Sam Waterston
রাকেল ওয়েলচ	Raquel Welch
ওসমান ফারুক	Osman Faruk
কপিল কৃষ্ণ ঠাকুর	Kapil Krishna Thakur
পলিন কলিন্স	Pauline Collins
বব কাউপার	Bob Cowper
কাজী আবু জাফর সিদ্দিকী	Kazi Abu Zafar Siddique
কাজী সিরাজুল ইসলাম	Kazi Sirajul Islam
জেমস কান	James Caan
কাবুস বিন সাইদ আল সাইদ	Qaboos bin Said
কার্লোস স্লিম	Carlos Slim
কিপ থর্ন	Kip Thorne
কে এম ওবায়দুর রহমান	KM Obaidur Rahman
কেতকী কুশারী ডাইসন	Ketaki Kushari Dyson
জুলি ক্রিস্টি	Julie Christie
সুলতান খান	Sultan Khan
খোরশেদ আরা হক	Khorshed Ara Haque
গাও শিংশিয়ান	Gao Xingjian
নরম্যান গিফোর্ড	Norman Gifford
গুলাম আলী	Ghulam Ali
স্যাভয়ের রাজকন্যা মারিয়া গ্যাব্রিয়েলা	Princess Maria Gabriella of Savoy
ডেনিস গ্যামসি	Dennis Gamsy
চিপ টেইলর	Chip Taylor
চেনচিনিয়েন	Tony Tan
জঁ-মারি গুস্তাভ ল্য ক্লেজিও	J. M. G. Le Clézio
জন ম্যাক্সওয়েল কুতসি	J. M. Coetzee
জন লিভার	John Lever
জন লেনন	John Lennon
জর্জ অ্যাকারলফ	George Akerlof
জাভেদ আখতার	Javed Akhtar
জোয়াকিম ফ্রাংক	Joachim Frank
টনি কোজিয়ার	Tony Cozier
ব্রায়ান টাবের	Brian Taber
জগমোহন ডালমিয়া	Jagmohan Dalmiya
ডেনিস টিটো	Dennis Tito
ডেনিস ল	Denis Law
মাইক ডেনিস	Mike Denness
ডেভিড শেফার্ড	David Shepherd
ডেভিড হ্যামিলটন কখ	David Koch
তরণী দেবনাথ	Tarani Debnath
তাবারে ভাযকেজ	Tabaré Vázquez
ত্রিদিব মিত্র	Tridib Mitra
থমাস এ. স্টিত্‌জ	Thomas A. Steitz
দর্শনা জাভেরী	Darshana Jhaveri
দেবী রায়	Debi Roy
দেলাওয়ার হোসাইন সাঈদী	Delwar Hossain Sayeedi
দ্বিতীয় মার্গারেথ	Margrethe II of Denmark
নাসির আহমেদ	Nasir Ahmed
শেখ নিয়ামত আলী	Sheikh Niamat Ali
নীলু	Neelo
নুরসুলতান নাজারবায়েভ	Nursultan Nazarbayev
শরদ পওয়ার	Sharad Pawar
পদ্মা সচদেব	Padma Sachdev
আল পাচিনো	Al Pacino
শাহনায পাহলভি	Shahnaz Pahlavi
পিনাকী চৌধুরী	Pinaki Chaudhuri
পীযুষ কান্তি ভট্টাচার্য্য	Pijush Kanti Bhattacharjee
প্যাট্রিক স্টুয়ার্ট	Patrick Stewart
ইরাপল্লী প্রসন্ন	E. A. S. Prasanna
রিচার্ড প্রায়র	Richard Pryor
ফখরুদ্দীন আহমদ	Fakhruddin Ahmed
পিটার ফন্ডা	Peter Fonda
ফারুক আলম	Faruque Alam
ফারুক আহমদ খান লেগারি	Farooq Leghari
জিওফ্রে বয়কট	Geoffrey Boycott
ক্রিস বল্ডারস্টোন	Chris Balderstone
বাঙালি সিং	Bengali Singh
এডি বার্লো	Eddie Barlow
বিকাশ ভট্টাচার্য	Bikash Bhattacharjee
ইয়াসার বুয়ুকানিত	Yaşar Büyükanıt
বুরহানউদ্দিন রব্বানী	Burhanuddin Rabbani
বুলবন ওসমান	Bulbon Osman
এনিড বেকওয়েল	Enid Bakewell
ব্রায়ান অলড্রিজ	Brian Aldridge
ব্রায়ান ডেভিড জোসেফসন	Brian Josephson
ব্রুস লি	Bruce Lee
জেমস ব্রোলিন	James Brolin
ভারতী মুখার্জী	Bharati Mukherjee
ভি বিশ্বনাধন	Paris Viswanathan
মামনুন হুসাইন	Mamnoon Hussain
ইকবাল মাহমুদ	Iqbal Mahmud
মাহমুদুল হক	Mahmudul Haque
প্রবীর মিত্র	Prabir Mitra
মিশেল টেমার	Michel Temer
মু. আলীম উদ্দিন	Mohammad Alim Uddin
মুহাম্মদ ইউনূস	Muhammad Yunus
মুহাম্মদ মোশাররফ হোসেন	Md. Mosharraf Hossain
মোঃ আব্দুল মুক্তাদির	Md Abdul Muktadir
মোজাম্মেল হোসেন	Mozammel Hossain
মোরশেদ খান	Morshed Khan
মোহাম্মদ আবুল মঞ্জুর	Mohammad Abdul Monjur
মোহাম্মদ সেলিম	Mohammad Selim
ডিক মোৎজ	Dick Motz
ম্যালকম গ্রে	Malcolm Gray
যামিনী কৃষ্ণমূর্তি	Yamini Krishnamurthy
কে জে যেসুদাস	K. J. Yesudas
যোসেফ লিওনার্দ গোল্ডস্টেইন	Joseph L. Goldstein
রমেশ চন্দ্র সেন	Ramesh Chandra Sen
ক্যাথরিন রস	Katharine Ross
রিঙ্গো স্টার	Ringo Starr
রুহুল আমিন	Ruhul Amin
লক্ষ্মীকান্ত-প্যায়ারেলাল	Laxmikant–Pyarelal
ডেভিড লার্টার	David Larter
পিটার লিভার	Peter Lever
লীলা নায়ডু	Leela Naidu
লুৎফুল হাই সাচ্চু	Lutful Hai Sachchu
শবনম	Shabnam
শাফায়াত জামিল	Shafaat Jamil
শামসুজ্জামান খান	Shamsuzzaman Khan
শামসুর রহমান শরীফ	Shamsur Rahman Sherif
লেইলা এ. শারাফ	Leila A. Sharaf
শাহানারা বেগম	Shahanara Begum
শুভ্রা মুখার্জি	Suvra Mukherjee
শেখ আবদুস সালাম	Sheikh Abdus Salam
শ্যামল কুমার সেন	Shyamal Kumar Sen
মাইক শ্রিম্পটন	Mike Shrimpton
দিলীপ সরদেশাই	Dilip Sardesai
আবদুল্লাহ আবু সায়ীদ	Abdullah Abu Sayeed
সালমান আল-ফরজ	Salman Al-Faraj
সুকুমারী	Sukumari
সুলেমান খান	Suleman Khan
রেক্স সেলার্স	Rex Sellers
সেলিনা বাহার জামান	Selina Bahar Zaman
সৈয়দ জে. আর. মোদাচ্ছির হোসেন	J. R. Mudassir Husain
সৈয়দ মোহাম্মদ কায়সার	Syed Mohammad Qaisar
থেলমা স্কুনমেকার	Thelma Schoonmaker
কিথ স্ট্যাকপোল	Keith Stackpole
আনোয়ারা সৈয়দ হক	Anwara Syed Haq
ডেভিড হলফোর্ড	David Holford
জন হার্ট	John Hurt
হার্বি হ্যানকক	Herbie Hancock
রাউল হুলিয়া	Raul Julia
ব্রায়ান হ্যাস্টিংস	Brian Hastings
নেলসন অ্যালগ্রেন	Nelson Algren
দুর্গাবাঈ দেশমুখ	Durgabai Deshmukh
অ্যার্জে	Hergé
বার্ল আইভস	Burl Ives
আন্দ্রেই গ্রোমিকো	Andrei Gromyko
আলাঁ পোঅ্যার	Alain Poher
আশাপূর্ণা দেবী	Ashapoorna Devi
আসাফ যেয়নালি	Asaf Zeynally
উ থান্ট	U Thant
উইলিয়াম মন্টগোমারি ওয়াট	W. Montgomery Watt
এডওয়ার্ড লাউরি টাটম	Edward Tatum
ওয়ালেস স্টেগ্‌নার	Wallace Stegner
টাপি ওয়েন-স্মিথ	Tuppy Owen-Smith
এলিয়া কাজান	Elia Kazan
কাজী আনোয়ারুল হক	Kazi Anwarul Haque
কাজী কাদের নেওয়াজ	Kazi Kader Newaj
কানাইলাল ভট্টাচার্য	Kanailal Bhattacharjee
কোয়ামে এনক্রুমাহ	Kwame Nkrumah
ডন ক্লেভার্লি	Don Cleverley
এম. জে. গোপালন	M. J. Gopalan
রনি গ্রিভসন	Ronnie Grieveson
রল্ফ গ্র্যান্ট	Rolph Grant
জাহান তালিশিন্সকায়া	Jahan Talyshinskaya
জ্ঞানপ্রকাশ ঘোষ	Jnan Prakash Ghosh
আর্চি জ্যাকসন	Archie Jackson
জেসিকা ট্যান্ডি	Jessica Tandy
লেন ডার্লিং	Len Darling
ফ্রাঙ্ক ডি কেয়ার্স	Frank De Caires
তালাল বিন আবদুল্লাহ	Talal of Jordan
চন্দ্রাবতী দেবী	Chandrabati Devi
নাথান রোসেন	Nathan Rosen
ফণী শর্মা	Phani Sarma
বনি অ্যান্ড ক্লাইড	Bonnie and Clyde
ম্যাট বাজ্‌বি	Matt Busby
বালামনি আম্মা	Balamani Amma
বিমল রায়	Bimal Roy
বিষ্ণু দে	Bishnu Dey
সিড বুলার	Syd Buller
ভিসেন্তে ফিওলা	Vicente Feola
বিল ভোস	Bill Voce
লামবের্তো মাজ্জোরানি	Lamberto Maggiorani
মার্টিন লিংগস	Martin Lings
ম্যানি মার্টিনডেল	Manny Martindale
ব্রুস মিচেল	Bruce Mitchell
জ্ঞান মুখোপাধ্যায়	Gyan Mukherjee
মুহাম্মদ দাউদ খান	Mohammed Daoud Khan
জেমস মেসান	James Mason
মোহাম্মদ আলী বগুড়া	Mohammad Ali Bogra
জোসেফ এল. ম্যাংকাভিৎস	Joseph L. Mankiewicz
অ্যালবি রবার্টস	Alby Roberts
বিষ্ণুপ্রসাদ রাভা	Bishnu Prasad Rabha
রুডলফ কম্ফনার	Rudolf Kompfner
মারসে রোডোরেডা	Mercè Rodoreda
এরিক রোয়ান	Eric Rowan
লক্ষ্মীপ্রসাদ দেবকোটা	Laxmi Prasad Devkota
লীলা চিটনিস	Leela Chitnis
সবিতা আম্বেডকর	Savita Ambedkar
সানসি মাহমুদ	Sanusi Mahmood
সাব্বির ইউনুসোভিচ ইউনুসোভ	Sabir Yunusov
সি.এন. আন্নাদুরাই	C. N. Annadurai
লাল সিং	Lall Singh
সুবোধ ঘোষ	Subodh Ghosh
সৈয়দ আবদুল রহিম	Syed Abdul Rahim
সোমনাথ লাহিড়ী	Somnath Lahiri
ডিক হাওয়ার্থ	Dick Howorth
হাবিব ইলঘানিয়ান	Habib Elghanian
দত্তারাম হিন্দলেকর	Dattaram Hindlekar
হিলডে ডোমিন	Hilde Domin
হুয়ান হোসে নোগুয়েস	Juan José Nogués
জর্জ হ্যাডলি	George Headley
অমিয় কুমার বাগচী	Amiya Kumar Bagchi
অ্যামেচিও ওর্তেগা	Amancio Ortega
অ্যালান হিগার	Alan J. Heeger
আন্দ্রৌলা হেনরিকস	Androula Henriques
আবদুল কাদের খান	Abdul Qadeer Khan
আবু ওসমান চৌধুরী	Abu Osman Chowdhury
আবুবকর সিদ্দিক	Abubakar Siddique
আবুল আহসান	Abul Ahsan
ফজলে হাসান আবেদ	Fazle Hasan Abed
আব্দুস সালাম তালুকদার	Abdus Salam Talukder
আব্দুস সুবহান	Abdus Sobhan
মুস্তাফা জামান আব্বাসী	Mustafa Zaman Abbasi
আল মাহমুদ	Al Mahmud
অ্যালান আলডা	Alan Alda
আল্লা দেমিডোভা	Alla Demidova
আহমাদু আলি	Ahmadu Ali
ইউসুফ হাবিবি	B. J. Habibie
রফিকুল ইসলাম	Rafiqul Islam
উইনি ম্যান্ডেলা	Winnie Madikizela-Mandela
উয়ে সিলার	Uwe Seeler
উরসুলা অ্যান্ড্রেস	Ursula Andress
এডওয়ার্ড আলবার্ট	Edward Feigenbaum
ডানকান এডওয়ার্ডস	Duncan Edwards
এফ. ডব্লিউ. ডি ক্লার্ক	F. W. de Klerk
এভি আনন্দ	A. V. Anand
ওং তিং ছয়ং	Ong Teng Cheong
ওথেলো সারাইভা দে কার্ভালহো	Otelo Saraiva de Carvalho
পিটার ওয়াকার	Peter Walker
ওয়াজি উদ্দিন খান	Wazi Uddin Khan
খালিদ ওয়াজির	Khalid Wazir
ওয়াহিদা রেহমান	Waheeda Rehman
মাসুদ করিম	Masud Karim
কাজল গুপ্ত	Kajal Gupta
কাজী আনোয়ার হোসেন	Qazi Anwar Hussain
আবু হেনা মোস্তফা কামাল	Abu Hena Mustafa Kamal
ক্লাইড কাম্বারব্যাচ	Clyde Cumberbatch
কেনেথ জি উইলসন	Kenneth G. Wilson
লুইস গসেট জুনিয়র	Louis Gossett Jr.
গাসসান কানাফানি	Ghassan Kanafani
গুরুদাস দাসগুপ্ত	Gurudas Dasgupta
গ্লেন মার্কাট	Glenn Murcutt
জন মাইকেল বিশপ	J. Michael Bishop
জন ম্যাককেইন	John McCain
জামিল উদ্দিন আহমেদ	Jamil Uddin Ahmad
ব্যারি জার্মান	Barry Jarman
বোরহানউদ্দিন খান জাহাঙ্গীর	Burhanuddin Khan Jahangir
জুডে পার্ল	Judea Pearl
জেমস হ্যারিসন	James Harrison
গ্লেন্ডা জ্যাকসন	Glenda Jackson
ডন ডিলিলো	Don DeLillo
রবার্ট ডাউনি সিনিয়র	Robert Downey Sr.
ব্রুস ডার্ন	Bruce Dern
আর্টি ডিক	Artie Dick
তরুণ গগৈ	Tarun Gogoi
তারাপদ রায়	Tarapada Roy
তারেক আজিজ	Tariq Aziz
তারেক সুহিমাত	Tareq Suheimat
দিলারা হাশেম	Dilara Hashem
ধীরাজ চৌধুরী	Dhiraj Choudhury
নূতন	Nutan
নূর মোহাম্মদ শেখ	Nur Mohammad Sheikh
পল পোস্টাল	Paul Postal
পিটার পারফিট	Peter Parfitt
পি. কে. ব্যানার্জি	P. K. Banerjee
ডেভিড পিদি	David Pithey
আলেহানদ্রা পিসারনিক	Alejandra Pizarnik
পোপ ফ্রান্সিস	Pope Francis
পৌলিনুস কস্তা	Paulinus Costa
প্রণব কুমার গগৈ	Pranab Kumar Gogoi
প্রিয়া রাজবংশ	Priya Rajvansh
সৈয়দা রাজিয়া ফয়েজ	Syeda Razia Faiz
ফরিদ মুরাদ	Ferid Murad
অ্যালবার্ট ফিনি	Albert Finney
বশীর আল-হেলাল	Bashir Al Helal
রুথ বুজ্জি	Ruth Buzzi
বুদ্ধদেব গুহ	Buddhadeb Guha
বেলাল মোহাম্মদ	Belal Muhammad
বৈজয়ন্তীমালা	Vyjayanthimala
ব্যারি ব্যারিশ	Barry Barish
ভাকল্যাভ হ্যাভেল	Václav Havel
মইন উদ্দীন আহমদ	Moin Uddin Ahmed
মোহাম্মদ মনিরুজ্জামান	Mohammad Moniruzzaman
মনোয়ারা ইসলাম	Monowara Islam
মাঙ্গাশি আমিরিয়ান	Mangashti Amirian
মারিও বার্গাস ইয়োসা	Mario Vargas Llosa
মার্গারেট হ্যামিলটন	Margaret Hamilton
মালা সিনহা	Mala Sinha
মাহমুদুল ইসলাম	Mahmudul Islam
মিখাইল তাল	Mikhail Tal
পৃথ্বীন্দ্রনাথ মুখোপাধ্যায়	Prithwindra Mukherjee
ম্যারি টাইলার মুর	Mary Tyler Moore
মোজাফফর আহমদ	Muzaffar Ahmed
মোহাম্মদ আছাদুজ্জামান	Mohammad Asaduzzaman
যতীন সরকার	Jatin Sarker
যমুনা	Jamuna
রজার হুইটেকার	Roger Whittaker
রবার্ট উড্রো উইলসন	Robert Woodrow Wilson
রবার্ট ওয়েন্ডেল লাকি	Robert W. Lucky
রবার্ট বব ফ্লয়েড	Robert W. Floyd
জিয়াউর রহমান	Ziaur Rahman
রাজিয়া খান	Razia Khan
এরিক রাসেল	Eric Russell
রিচার্ড এডউইন স্টার্নস	Richard E. Stearns
রুগ্মিনী গোপালকৃষ্ণন	Rugmini Gopalakrishnan
রুসি সুর্তি	Rusi Surti
রবার্ট রেডফোর্ড	Robert Redford
বার্ট রেনল্ডস	Burt Reynolds
হ্যারল্ড রোডস	Harold Rhodes
লতিফুর রহমান	Latifur Rahman
কেন লোচ	Ken Loach
সু অ্যান ল্যাংডন	Sue Ane Langdon
শরিফা খাতুন	Sharifa Khatun
ফিল শার্প	Phil Sharpe
ফজল শাহাবুদ্দীন	Fazal Shahabuddin
শিশির কুমার দাশ	Sisir Kumar Das
শুভেন্দু চট্টোপাধ্যায়	Subhendu Chatterjee
সঞ্জীব চট্টোপাধ্যায়	Sanjib Chattopadhyay
মুহাম্মদ সাইদ	Mufti Mohammad Sayeed
সাবিত্রী	Savitri
সামুয়েল ছাও ছুং থিং	Samuel C. C. Ting
ব্যারি সিনক্লেয়ার	Barry Sinclair
সিমাস ম্যালন	Seamus Mallon
বব সিম্পসন	Bob Simpson
সিরাজুল ইসলাম চৌধুরী	Serajul Islam Choudhury
সিলভিও বেরলুসকোনি	Silvio Berlusconi
সুফি	Naren Ray
সুমিতা দেবী	Sumita Devi
সুষমা শেঠ	Sushma Seth
সেপ ব্ল্যাটার	Sepp Blatter
কেলি সেম্যুর	Kelly Seymour
গারফিল্ড সোবার্স	Garfield Sobers
মাইকেল সোমারে	Michael Somare
ডিন স্টকওয়েল	Dean Stockwell
অ্যালেন স্মিথ	Alan Smith
কিথ স্ল্যাটার	Keith Slater
কাজী এবাদুল হক	Kazi Ebadul Haque
ডেনিস হপার	Dennis Hopper
হামিদা হোসেন	Hameeda Hossain
জিয়া হায়দার	Zia Haider
রয় হারফোর্ড	Roy Harford
হারাল্ড ৎসুর হাউজেন	Harald zur Hausen
গণেশ হালুই	Ganesh Haloi
এস এম আহমেদ হুমায়ুন	Ahmed Humayun
হোশিয়ার সিং	Hoshiar Singh Dahiya
মনিকা আলী	Monica Ali
এ পি আবদুল্লাহকুট্টি	A. P. Abdullakutty
মালিনী অবস্থী	Malini Awasthi
পালি চন্দ্র	Pali Chandra
অনুপমা চোপড়া	Anupama Chopra
মারিসল এস্পিনোজা	Marisol Espinoza
অনুপ চেতিয়া	Anup Chetia
অমলা আক্কিনেনি	Amala Akkineni
অশ্বিনী নাচাপ্পা	Ashwini Nachappa
অ্যান্ড্রু জেসার্স	Andrew Zesers
আজম আলী	Azam Ali
মিশেল আজানাভিস্যুস	Michel Hazanavicius
আনোয়ার উল হক মুজাহিদ	Anwar ul Haq Mujahid
আবুল কালাম আজাদ	Abul Kalam Azad
আরবাজ খান	Arbaaz Khan
ইংলাক সিনাওয়াত্রা	Yingluck Shinawatra
ইভ রোডিয়ার	Yves Rodier
ইয়ুর্গেন ক্লপ	Jürgen Klopp
এলমার হুসেয়নভ	Elmar Huseynov
ধ্রুব এষ	Dhruba Esh
ওয়াচৌস্কি ভ্রাতৃদ্বয়	The Wachowskis
এমিলি ওয়াটসন	Emily Watson
কমলেশ বাল্মীকি	Kamlesh Balmiki
মুশতাক কাদরী	Mushtaq Qadri
কার্ট কোবেইন	Kurt Cobain
গ্যারি কার্স্টেন	Gary Kirsten
ড্যারিল কালিনান	Daryll Cullinan
মাতিয়ো কাসোভিস	Mathieu Kassovitz
কিটু গিদওয়ানি	Kitu Gidwani
নিকোল কিডম্যান	Nicole Kidman
অক্ষয় কুমার	Akshay Kumar
কেইন	Kane
ক্রিম পাফ	Creme Puff
ক্রিস অ্যাঞ্জেল	Criss Angel
ইরফান খান	Irrfan Khan
গুরমিত রাম রহিম সিং	Gurmeet Ram Rahim Singh
গোলাম মাওলা রনি	Golam Maula Rony
জন কক্‌ক্রফট	John Cockcroft
আরিফ জাকারিয়া	Arif Zakaria
জাহিদ রাজ্জাক	Zahid Razzak
রোশন জুরঙ্গপতি	Roshan Jurangpathy
জুলিয়া রবার্টস	Julia Roberts
জুহি চাওলা	Juhi Chawla
জেনি শিমিজু	Jenny Shimizu
জেফ জেরেট	Jeff Jarrett
স্টিভ জেমস	Steve James
রিডলি জ্যাকবস	Ridley Jacobs
ঝুম্পা লাহিড়ী	Jhumpa Lahiri
টিপু সুলতান	Tipu Sultan
লরা ডার্ন	Laura Dern
ডেভিড গেটা	David Guetta
তারেক রহমান	Tarique Rahman
মাধুরী দীক্ষিত	Madhuri Dixit
দীপ্তি ভটনাগর	Deepti Bhatnagar
বেনিসিও দেল তোরো	Benicio del Toro
দোলা সেন	Dola Sen
ধনীরাম পৌডেল	Dhaniram Paudel
নজরুল ইসলাম বাবু	Nazrul Islam Babu
নন্দনা সেন	Nandana Sen
নালিন পেকগুল	Nalin Pekgul
নাসিরউদ্দিন আহমেদ পিন্টু	Nasiruddin Ahmed Pintu
নীল স্মিথ	Neil Smith
পল ইন্স	Paul Ince
পামেলা অ্যান্ডারসন	Pamela Anderson
প্রিচার মস	Preacher Moss
জেমি ফক্স	Jamie Foxx
ফয়সাল জামান খান	Faisal Zaman Khan
পল ফারব্রেস	Paul Farbrace
উইল ফেরল	Will Ferrell
বসন্ত বেনুগোপাল	Vasanth Venugopal
রাহুল বসু	Rahul Bose
নিসরিন বারওয়ারী	Nisrin Barwari
ইয়ান বিশপ	Ian Bishop
কেনি বেঞ্জামিন	Kenny Benjamin
ব্রায়ন পি. শেমিডিট	Brian Schmidt
জাস্টিন ভন	Justin Vaughan
ভিন ডাইসেল	Vin Diesel
দ্যনি ভিলনোভ	Denis Villeneuve
ভিশ্মদেব চক্রবর্তী	Bhishmadev Chakrabortty
মমতা বালা ঠাকুর	Mamata Bala Thakur
শঙ্কর মহাদেবন	Shankar Mahadevan
মাইকেল জনসন	Michael Johnson
মারিয়া বেলো	Maria Bello
মারিয়ান পার্ল	Mariane Pearl
মাহফুজ আহমেদ	Mahfuz Ahmed
অরপ্যাড মিকলোস	Arpad Miklos
মিতা বশিষ্ঠ	Mita Vashisht
মিতালি মুখার্জী	Mitali Mukerji
মিল্টন খন্দকার	Milton Khondokar
মুহসিন আল-রামলি	Muhsin al-Ramli
মেনহাজ হুদা	Menhaj Huda
মো: জাহাঙ্গীর আল মুস্তাহিদুর রহমান	Md Jahangir Al Mustahidur Rahman
মোনিক	Mo\Nique
মোহাম্মদ আব্দুল মুনিম চৌধুরী	Abdul Munim Chowdhury
মোহাম্মদ নাশিদ	Mohamed Nasheed
মোহাম্মদ হোসেন মিলজার	Mohamed Hossain Milzer
গাস ম্যাকে	Gus Mackay
ম্যালানি থর্নটন	Melanie Thornton
রবের্তো বাজ্জো	Roberto Baggio
হাবিবুর রহমান	Habibur Rahman
রাগেহ ওমর	Rageh Omaar
রাজীব সূরি	Rajeev Suri
আশুতোষ রানা	Ashutosh Rana
মার্ক রাফালো	Mark Ruffalo
রিড হফম্যান	Reid Hoffman
রিনাত ফৌজিয়া	Reenat Fauzia
র‌্যানমোর মার্টিনেজ	Ranmore Martinesz
লরেন বুথ	Lauren Booth
লিয়েভ শ্রাইবার	Liev Schreiber
লেইলা ফারসাখ	Leila Farsakh
লেনিন গনি	Lenin Gani
শফিকুল ইসলাম মানিক	Shafiqul Islam Manik
শাহানুদ্দীন চৌধুরী	Shahanuddin Choudhury
শুভা টোলে	Shubha Tole
শেখ পাশা হাবিব উদ্দিন	Sheikh Pasha Habib Uddin
সঞ্জনা কাপুর	Sanjana Kapoor
সত্য নাদেলা	Satya Nadella
সাইফ আলি খান	Saif Ali Khan
সাফি উদ্দিন সাফি	Shafi Uddin Shafi
সালাউদ্দিন আহমদ	Salauddin Ahmed
সু গার্ডনার	Sue Gardner
সুং জেগি	Sung Jae-gi
সুন্দর পিচাই	Sundar Pichai
সুপ্রিয়া পিলগাঁওকর	Supriya Pilgaonkar
সুমন পোখরেল	Suman Pokhrel
সেলিম রেহমান	Salim Rehman
সৈয়দা আসিফা আশরাফী পাপিয়া	Syeda Asifa Ashrafi Papia
জেসন স্টেথাম	Jason Statham
স্যাম টেইলর-জনসন	Sam Taylor-Johnson
ফিলিপ সিমোর হফম্যান	Philip Seymour Hoffman
হাসান তিলকরত্নে	Hashan Tillakaratne
জাহিদ হাসান	Zahid Hasan
হিরোসাই নোহারা	Hiroshi Nohara
রোল্যান্ড হোল্ডার	Roland Holder
স্যাম হ্যারিস	Sam Harris
আখিম ম্যুলার	Achim Müller
সরোজ পাঠক	Saroj Pathak
অজিত রায়	Ajit Roy
অন্না হজারে	Anna Hazare
অ্যান্থনি জেমস লেগেট	Anthony James Leggett
আইভান এডওয়ার্ড সাদারল্যান্ড	Ivan Sutherland
আঞ্জুমান আরা জামিল	Anjuman Ara Jamil
আনন্দমোহন চক্রবর্তী	Ananda Mohan Chakrabarty
আবু তাহের	Abu Taher
আবু হাসেম খান চৌধুরী	Abu Hasem Khan Choudhury
জুলিয়ানো আমাতো	Giuliano Amato
আর. পি. উলাগানাম্বি	R. P. Ulaganambi
আলবার্ট ফার্ট	Albert Fert
আলবের্তো ফুজিমোরি	Alberto Fujimori
আলমগীর কবির	Alamgir Kabir
ফারুক ইঞ্জিনিয়ার	Farokh Engineer
ইন্দিরা নাথ	Indira Nath
